Date,sales
2016-03-01,3762.1138584859664
2016-03-02,3814.9931403925093
2016-03-03,3931.594086435611
2016-03-04,4535.100305397933
2016-03-05,5759.443197327799
2016-03-06,5911.843038251447
2016-03-07,4225.57195203492
2016-03-08,3763.9177080032496
2016-03-09,3752.5556482968145
2016-03-10,3904.7117887520617
2016-03-11,4238.780828069568
2016-03-12,5416.833363850476
2016-03-13,5512.300157733009
2016-03-14,4110.430105000142
2016-03-15,3647.114182451503
2016-03-16,3641.099022848192
2016-03-17,3201.4894342043026
2016-03-18,4045.797624427393
2016-03-19,5361.179490545324
2016-03-20,5537.051322171051
2016-03-21,4050.8291318283264
2016-03-22,3575.364126685133
2016-03-23,3593.342244019913
2016-03-24,3422.71379162219
2016-03-25,4191.026510068665
2016-03-26,5608.109848709779
2016-03-27,4799.432490732337
2016-03-28,3944.1884270398436
2016-03-29,3456.288887368187
2016-03-30,3661.5735051808397
2016-03-31,3893.797613699025
