Date,sales
2016-03-01,3723.302485589471
2016-03-02,3667.9431554449498
2016-03-03,3619.9509499458463
2016-03-04,3983.8571691959005
2016-03-05,5421.408580912928
2016-03-06,5486.635612746282
2016-03-07,4201.788431954646
2016-03-08,3723.3024082041566
2016-03-09,3667.943078833488
2016-03-10,3619.9508741004993
2016-03-11,3983.8570941090065
2016-03-12,5421.408506576903
2016-03-13,5486.635539153618
2016-03-14,4201.788359097907
2016-03-15,3723.302336075986
2016-03-16,3667.9430074265997
2016-03-17,3619.950803407679
2016-03-18,3983.8570241231155
2016-03-19,5421.408437290871
2016-03-20,5486.635470560446
2016-03-21,4201.788291190667
2016-03-22,3723.3022688478177
2016-03-23,3667.9429408707133
2016-03-24,3619.9507375173516
2016-03-25,3983.8569588916907
2016-03-26,5421.40837271176
2016-03-27,5486.635406627127
2016-03-28,4201.788227896681
2016-03-29,3723.3022061867714
2016-03-30,3667.942878836277
2016-03-31,3619.950676103261
