Date,sales
2016-03-01,3882.7029799592347
2016-03-02,3885.5701838262557
2016-03-03,4126.112214161987
2016-03-04,4665.271225831654
2016-03-05,5779.616038395041
2016-03-06,6050.433878961501
2016-03-07,4417.376669495897
2016-03-08,3938.6858801185467
2016-03-09,3855.0688171620545
2016-03-10,3901.9983728714847
2016-03-11,4326.021689544993
2016-03-12,5461.336880475661
2016-03-13,5704.544840956559
2016-03-14,4142.400925476961
2016-03-15,3646.635781266832
2016-03-16,3686.1636807031623
2016-03-17,3486.7018376822975
2016-03-18,4188.054439314503
2016-03-19,5503.8021493383
2016-03-20,5747.010109819198
2016-03-21,4162.195334922533
2016-03-22,3620.36308124839
2016-03-23,3659.89098068472
2016-03-24,3455.658396855346
2016-03-25,4140.831270996083
2016-03-26,5526.5573138087375
2016-03-27,4938.108620499888
2016-03-28,4141.888482361357
2016-03-29,3655.273200893607
2016-03-30,3705.329644681996
2016-03-31,3958.228281804717
