Date,sales
2016-03-01,3682.7029799592347
2016-03-02,3685.5701838262557
2016-03-03,3926.1122141619876
2016-03-04,4465.271225831654
2016-03-05,5579.616038395041
2016-03-06,5850.433878961501
2016-03-07,4217.376669495897
2016-03-08,3738.6858801185467
2016-03-09,3655.0688171620545
2016-03-10,3701.9983728714847
2016-03-11,4126.021689544993
2016-03-12,5261.336880475661
2016-03-13,5504.544840956559
2016-03-14,3942.4009254769608
2016-03-15,3446.635781266832
2016-03-16,3486.1636807031623
2016-03-17,3286.7018376822975
2016-03-18,3988.054439314503
2016-03-19,5303.8021493383
2016-03-20,5547.010109819198
2016-03-21,3962.1953349225328
2016-03-22,3420.36308124839
2016-03-23,3459.89098068472
2016-03-24,3255.658396855346
2016-03-25,3940.8312709960824
2016-03-26,5326.5573138087375
2016-03-27,4738.108620499888
2016-03-28,3941.8884823613575
2016-03-29,3455.273200893607
2016-03-30,3505.329644681996
2016-03-31,3758.228281804717
