Date,sales
2016-03-01,3838.24
2016-03-02,3110.25
2016-03-03,3186.14
2016-03-04,3281.96
2016-03-05,4621.3
2016-03-06,4279.872999999998
2016-03-07,3248.2696
2016-03-08,2947.6588
2016-03-09,3154.0840399999997
2016-03-10,2927.0350423999994
2016-03-11,3357.67
2016-03-12,4310.245729999999
2016-03-13,4148.629572999999
2016-03-14,2904.538969648
2016-03-15,2913.768969648
2016-03-16,3089.3575341084784
2016-03-17,3089.038871891343
2016-03-18,3278.2941640599984
2016-03-19,4143.4041157
2016-03-20,4082.775501458999
2016-03-21,3966.2780784153933
2016-03-22,2876.8947649552724
2016-03-23,2873.578919206917
2016-03-24,2979.234169086821
2016-03-25,2738.579497765839
2016-03-26,3974.2825796415896
2016-03-27,3969.116223625496
2016-03-28,2885.99293111454
2016-03-29,2932.554002391241
2016-03-30,2932.2646290790235
2016-03-31,2936.557815924086
