Date,sales
2016-03-01,3877.9923174643773
2016-03-02,3871.221973360031
2016-03-03,3878.3944193560774
2016-03-04,4320.695641081315
2016-03-05,5778.506364320127
2016-03-06,5791.913330562494
2016-03-07,4151.1513399430905
2016-03-08,3881.289894838516
2016-03-09,3874.8854417598104
2016-03-10,3882.507087755857
2016-03-11,4157.780592657684
2016-03-12,5422.832128696574
2016-03-13,5498.402157939183
2016-03-14,3889.344887288019
2016-03-15,3554.754439093366
2016-03-16,3553.504464198186
2016-03-17,3510.5080777471303
2016-03-18,4075.9592463026256
2016-03-19,5428.947825093202
2016-03-20,5502.345389390207
2016-03-21,3849.8825433702764
2016-03-22,3518.052102014799
2016-03-23,3518.915423625883
2016-03-24,3417.2297187753393
2016-03-25,3986.339204796685
2016-03-26,5360.549475545666
2016-03-27,5140.49899333915
2016-03-28,3806.900637468705
2016-03-29,3504.075939108304
2016-03-30,3533.942445562286
2016-03-31,3563.707356305845
