date,week_id,event_name_1,event_type_1,event_name_2,event_type_2,snap
2011-03-01,11105,,,,,1
2011-03-02,11105,,,,,1
2011-03-03,11105,,,,,1
2011-03-04,11105,,,,,1
2011-03-05,11106,,,,,1
2011-03-06,11106,,,,,1
2011-03-07,11106,,,,,1
2011-03-08,11106,,,,,1
2011-03-09,11106,LentStart,Religious,,,1
2011-03-10,11106,,,,,1
2011-03-11,11106,,,,,0
2011-03-12,11107,,,,,0
2011-03-13,11107,,,,,0
2011-03-14,11107,,,,,0
2011-03-15,11107,,,,,0
2011-03-16,11107,LentWeek2,Religious,,,0
2011-03-17,11107,StPatricksDay,Cultural,,,0
2011-03-18,11107,,,,,0
2011-03-19,11108,,,,,0
2011-03-20,11108,Purim End,Religious,,,0
2011-03-21,11108,,,,,0
2011-03-22,11108,,,,,0
2011-03-23,11108,,,,,0
2011-03-24,11108,,,,,0
2011-03-25,11108,,,,,0
2011-03-26,11109,,,,,0
2011-03-27,11109,,,,,0
2011-03-28,11109,,,,,0
2011-03-29,11109,,,,,0
2011-03-30,11109,,,,,0
2011-03-31,11109,,,,,0
2011-04-01,11109,,,,,1
2011-04-02,11110,,,,,1
2011-04-03,11110,,,,,1
2011-04-04,11110,,,,,1
2011-04-05,11110,,,,,1
2011-04-06,11110,,,,,1
2011-04-07,11110,,,,,1
2011-04-08,11110,,,,,1
2011-04-09,11111,,,,,1
2011-04-10,11111,,,,,1
2011-04-11,11111,,,,,0
2011-04-12,11111,,,,,0
2011-04-13,11111,,,,,0
2011-04-14,11111,,,,,0
2011-04-15,11111,,,,,0
2011-04-16,11112,,,,,0
2011-04-17,11112,,,,,0
2011-04-18,11112,,,,,0
2011-04-19,11112,,,,,0
2011-04-20,11112,,,,,0
2011-04-21,11112,,,,,0
2011-04-22,11112,,,,,0
2011-04-23,11113,,,,,0
2011-04-24,11113,OrthodoxEaster,Religious,Easter,Cultural,0
2011-04-25,11113,,,,,0
2011-04-26,11113,Pesach End,Religious,,,0
2011-04-27,11113,,,,,0
2011-04-28,11113,,,,,0
2011-04-29,11113,,,,,0
2011-04-30,11114,,,,,0
2011-05-01,11114,,,,,1
2011-05-02,11114,,,,,1
2011-05-03,11114,,,,,1
2011-05-04,11114,,,,,1
2011-05-05,11114,Cinco De Mayo,Cultural,,,1
2011-05-06,11114,,,,,1
2011-05-07,11115,,,,,1
2011-05-08,11115,Mother's day,Cultural,,,1
2011-05-09,11115,,,,,1
2011-05-10,11115,,,,,1
2011-05-11,11115,,,,,0
2011-05-12,11115,,,,,0
2011-05-13,11115,,,,,0
2011-05-14,11116,,,,,0
2011-05-15,11116,,,,,0
2011-05-16,11116,,,,,0
2011-05-17,11116,,,,,0
2011-05-18,11116,,,,,0
2011-05-19,11116,,,,,0
2011-05-20,11116,,,,,0
2011-05-21,11117,,,,,0
2011-05-22,11117,,,,,0
2011-05-23,11117,,,,,0
2011-05-24,11117,,,,,0
2011-05-25,11117,,,,,0
2011-05-26,11117,,,,,0
2011-05-27,11117,,,,,0
2011-05-28,11118,,,,,0
2011-05-29,11118,,,,,0
2011-05-30,11118,MemorialDay,National,,,0
