Date,sales
2016-03-01,3778.1452669836876
2016-03-02,3823.993220145278
2016-03-03,3848.498608656416
2016-03-04,4315.371691747824
2016-03-05,5539.597357162947
2016-03-06,5875.875527752624
2016-03-07,4187.798819631316
2016-03-08,3904.1055968411574
2016-03-09,3875.888875286949
2016-03-10,3896.0789009370674
2016-03-11,4192.718925807074
2016-03-12,5397.737446563672
2016-03-13,5670.040007054709
2016-03-14,3997.220853311259
2016-03-15,3617.2823031082476
2016-03-16,3531.450699700297
2016-03-17,3361.3131456570804
2016-03-18,4092.753359613474
2016-03-19,5264.138815225203
2016-03-20,5604.713829372169
2016-03-21,3948.309796601992
2016-03-22,3533.437818766264
2016-03-23,3439.15480633404
2016-03-24,3231.1946840893133
2016-03-25,4093.3555025745486
2016-03-26,5259.122054143782
2016-03-27,5169.445457945406
2016-03-28,3868.235367027445
2016-03-29,3533.437818766264
2016-03-30,3439.15480633404
2016-03-31,3453.713994112432
