Date,sales
2016-03-01,3839.35050721619
2016-03-02,3816.42878871735
2016-03-03,3838.73601329983
2016-03-04,4346.84389704858
2016-03-05,5657.23408261337
2016-03-06,5768.21029435653
2016-03-07,4158.77227410508
2016-03-08,3839.94754235666
2016-03-09,3827.69336566551
2016-03-10,3843.29059226627
2016-03-11,4106.92682656903
2016-03-12,5302.9231687399
2016-03-13,5540.23317719982
2016-03-14,3866.13232517966
2016-03-15,3515.01341867204
2016-03-16,3481.01896880639
2016-03-17,3363.20814293838
2016-03-18,4085.09206426763
2016-03-19,5311.34319138594
2016-03-20,5521.43262072632
2016-03-21,3853.24517117973
2016-03-22,3494.97953079707
2016-03-23,3455.03200373294
2016-03-24,3450.61657138055
2016-03-25,4076.54608613337
2016-03-26,5280.3726458419
2016-03-27,5017.57277813765
2016-03-28,3844.07063377916
2016-03-29,3502.39891157014
2016-03-30,3467.27504353378
2016-03-31,3471.48544660874
