Date,sales
2016-03-01,3739.77
2016-03-02,3703.0708333333337
2016-03-03,3700.1575000000003
2016-03-04,4282.656666666667
2016-03-05,5630.22
2016-03-06,5693.18
2016-03-07,4059.3135
2016-03-08,3639.0401428571427
2016-03-09,3740.1525
2016-03-10,3701.13
2016-03-11,4042.34
2016-03-12,5155.83
2016-03-13,5666.530000000001
2016-03-14,3839.5049999999997
2016-03-15,3400.835
2016-03-16,3397.9449999999997
2016-03-17,3274.836666666666
2016-03-18,4012.0200000000004
2016-03-19,5296.37
2016-03-20,5593.889999999999
2016-03-21,3811.615
2016-03-22,3364.075
2016-03-23,3333.915
2016-03-24,3393.5
2016-03-25,3978.8900000000003
2016-03-26,5158.46
2016-03-27,4965.18
2016-03-28,3837.785
2016-03-29,3409.335
2016-03-30,3408.115
2016-03-31,3318.9666666666667
